,GM_DATE,HOME_TEAM,SPREAD_1_AWAY,ODDS_1_AWAY,SPREAD_2_AWAY,ODDS_2_AWAY,SPREAD_3_AWAY,ODDS_3_AWAY,SPREAD_4_AWAY,ODDS_4_AWAY,SPREAD_1_HOME,ODDS_1_HOME,SPREAD_2_HOME,ODDS_2_HOME,SPREAD_3_HOME,ODDS_3_HOME,SPREAD_4_HOME,ODDS_4_HOME
149,2021-11-10,San Antonio,,,,None,,None,,None,,,,None,,None,,None
150,2021-11-10,Phoenix,,,,None,,None,,None,,,,None,,None,,None
151,2021-11-10,Chicago,,,,None,,None,,None,,,,None,,None,,None
152,2021-11-10,Golden State,+7½,-110,,-,+7½,-110,+5½,+120,-7½,-110,,-,-7½,-110,-6½,-145
153,2021-11-10,Denver,-3,-110,,-,-3,-112,-5,+115,+3,-110,,-,+3,-109,+4,-135
154,2021-11-10,New Orleans,,,,None,,None,,None,,,,None,,None,,None
155,2021-11-10,L.A. Lakers,-5½,-115,,-,-4½,-112,-3½,-180,+5½,-105,,-,+4½,-109,+5½,-105
156,2021-11-10,Houston,,,,None,,None,,None,,,,None,,None,,None
157,2021-11-10,New York,,,,None,,None,,None,,,,None,,None,,None
158,2021-11-10,Boston,,,,None,,None,,None,,,,None,,None,,None
159,2021-11-10,Orlando,,,,None,,None,,None,,,,None,,None,,None
160,2021-11-10,Cleveland,,,,None,,None,,None,,,,None,,None,,None
161,2021-11-10,Memphis,,,,None,,None,,None,,,,None,,None,,None
162,2021-11-11,L.A. Clippers,+5,-105,,-,+5,-107,+5,-105,-5,-115,,-,-5,-114,-5,-115
163,2021-11-11,Utah,+10½,-110,,-,+10½,-110,+12½,-150,-10½,-110,,-,-10½,-110,-12½,+110
164,2021-11-11,Philadelphia,+4,-105,,-,+4,-114,+6,-165,-4,-115,,-,-4,-107,-4,-110
165,2021-11-12,L.A. Lakers,+2,-110,,-,,-,+3,-140,-2,-110,,-,,-,-4,+115
166,2021-11-12,Denver,+3½,-110,,-,,-,+5½,-140,-3½,-110,,-,,-,-5½,+100
167,2021-11-12,San Antonio,-2½,-110,,-,-2,-112,-4½,+115,+2½,-110,,-,+2,-110,+4½,-160
168,2021-11-12,Oklahoma City,-4½,-110,,-,-4½,-108,-6½,+120,+4½,-110,,-,+4½,-113,+6½,-165
169,2021-11-12,Memphis,-2,-110,,-,,-,-1½,-110,+2,-110,,-,,-,+1½,-110
170,2021-11-12,Golden State,+5½,-110,,-,,-,+3½,+125,-5½,-110,,-,,-,-3½,-175
171,2021-11-12,Houston,-7½,-110,,-,-6½,-107,-8½,+135,+7½,-110,,-,+6½,-114,+6½,-115
172,2021-11-12,Boston,-1½,-110,,-,,-,-3,+120,+1½,-110,,-,,-,+3,-165
173,2021-11-12,Cleveland,+4½,-110,,-,+5½,-110,+5,-110,-4½,-110,,-,-5½,-110,-5,-110
174,2021-11-12,Charlotte,-1½,-115,,-,,-,-3,+100,+1½,-105,,-,,-,+4,-160
175,2021-11-12,New Orleans,-9½,-110,,-,-8½,-110,-7½,-140,+9½,-110,,-,+8½,-110,+7½,+100
176,2021-11-13,Utah,+7,-120,,-,,-,+9,-200,-7,+100,,-,,-,-9,+140
177,2021-11-13,Orlando,-4½,-110,,-,,-,-3½,-135,+4½,-110,,-,,-,+3½,-105
178,2021-11-13,Indiana,+3½,-115,,-,,-,+5½,-150,-3½,-105,,-,,-,-3½,-105
179,2021-11-13,New Orleans,-4,-115,,-,,-,-5½,+105,+4,-105,,-,,-,+5½,-145
180,2021-11-13,Toronto,+9½,-110,,-,,-,+6½,+125,-9½,-110,,-,,-,-6½,-175
181,2021-11-13,Cleveland,-2½,-105,,-,,-,-2,-110,+2½,-115,,-,,-,+2,-110
182,2021-11-13,L.A. Clippers,+7,-110,,-,,-,+9,-190,-7,-110,,-,,-,-9,+135
183,2021-11-14,Denver,+6,-110,,-,+5½,-110,+6½,-135,-6,-110,,-,-5½,-110,-4½,-145
184,2021-11-14,L.A. Clippers,+3½,-105,,-,+4,-107,+5½,-140,-3½,-115,,-,-4,-114,-4½,-110
185,2021-11-14,Oklahoma City,-9,-115,,-,-9,-110,-8,-140,+9,-105,,-,+9,-110,+10,-135
186,2021-11-14,Houston,-8½,-110,,-,-8½,-110,-7½,-140,+8½,-110,,-,+8½,-110,+7½,+100
187,2021-11-14,Charlotte,-5,-105,,-,-5,-112,-6½,+100,+5,-115,,-,+5,-109,+7½,-175
188,2021-11-14,Atlanta,+2,-105,,-,+2,-114,+3½,-145,-2,-115,,-,-2,-107,-2½,-105
189,2021-11-14,L.A. Lakers,,-,,-,,-,+2½,-110,,-,,-,,-,-2½,-110
190,2021-11-15,L.A. Lakers,-1½,-115,,-,-1,-113,-4,+115,+1½,-105,,-,+1,-109,+4,-160
191,2021-11-15,Portland,+3,-105,,-,+1½,-110,+3,-110,-3,-115,,-,-1½,-112,-3,-110
192,2021-11-15,Oklahoma City,-6½,-105,,-,-6½,-110,-5½,-130,+6½,-115,,-,+6½,-110,+6½,-115
193,2021-11-15,Dallas,+5½,-115,,-,+5½,-110,+7½,-180,-5½,-105,,-,-5½,-110,-6½,+105
194,2021-11-15,Memphis,+11½,-110,,-,+11½,-107,+13½,-160,-11½,-110,,-,-11½,-114,-13½,+115
195,2021-11-15,Minnesota,-4,-110,,-,-4,-112,-5,+100,+4,-110,,-,+4,-109,+6,-165
196,2021-11-15,New York,+3½,-110,,-,+3½,-108,+5½,-145,-3½,-110,,-,-3½,-113,-5½,+105
197,2021-11-15,Detroit,-4,-110,,-,-4½,-109,-3,-135,+4,-110,,-,+4½,-113,+5,-140
198,2021-11-15,Cleveland,-4,-115,,-,-4,-113,-6½,+125,+4,-105,,-,+4,-108,+6½,-175
199,2021-11-15,Washington,+4½,-110,,-,+4½,-109,+6½,-165,-4½,-110,,-,-4½,-112,-6½,+120
200,2021-11-15,Atlanta,+10½,-110,,-,+10½,-110,+12,-145,-10½,-110,,-,-10½,-110,-12,+105
201,2021-11-16,Brooklyn,+3,-115,,-,+3,-109,+4½,-160,-3,-105,,-,-3,-112,-3½,+100
202,2021-11-16,Utah,+11½,-110,,-,+10,-110,+13,-145,-11½,-110,,-,-10,-110,-14,+125
